,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
3337,20-Mar,제주시,일도1동,숙박,8,551000,2866838.114,2020-12-15
3397,20-Mar,제주시,조천읍,숙박,30,1789638,22344229.42,2020-12-15
3549,20-Apr,서귀포시,대륜동,숙박,11,2520000,14470880.64,2020-12-15
3601,20-Apr,서귀포시,대천동,숙박,370,17168890,8909338.649,2020-12-15
3655,20-Apr,서귀포시,서홍동,숙박,72,5971087,6883187.111,2020-12-15
3686,20-Apr,서귀포시,성산읍,숙박,18,740000,13918720.38,2020-12-15
3719,20-Apr,서귀포시,송산동,숙박,873,50912164,20507990.19,2020-12-15
3771,20-Apr,서귀포시,영천동,숙박,870,50027164,5479200.568,2020-12-15
3795,20-Apr,서귀포시,예래동,숙박,3114,1127254093,5435882.402,2020-12-15
3824,20-Apr,서귀포시,정방동,숙박,3,885000,3429709.043,2020-12-15
3855,20-Apr,서귀포시,중문동,숙박,250,38013666,10095422.32,2020-12-15
3883,20-Apr,서귀포시,중앙동,숙박,3,885000,4530584.305,2020-12-15
3913,20-Apr,서귀포시,천지동,숙박,75,6856087,8424160.643,2020-12-15
3989,20-Apr,제주시,건입동,숙박,30,2310000,9018817.09,2020-12-15
4048,20-Apr,제주시,노형동,숙박,104,10491000,53504878.81,2020-12-15
4117,20-Apr,제주시,삼도1동,숙박,111,18246519,11165907.64,2020-12-15
4145,20-Apr,제주시,삼도2동,숙박,672,180003275,6603114.994,2020-12-15
4229,20-Apr,제주시,애월읍,숙박,2,24000,38871409.8,2020-12-15
4264,20-Apr,제주시,연동,숙박,1690,546739458,46699815.66,2020-12-15
4320,20-Apr,제주시,외도동,숙박,159,18485854,11925704.2,2020-12-15
4348,20-Apr,제주시,용담1동,숙박,7,810000,7266690.126,2020-12-15
4421,20-Apr,제주시,이도1동,숙박,332,83609507,12102576.01,2020-12-15
4499,20-Apr,제주시,일도1동,숙박,12,658600,2769274.993,2020-12-15
4558,20-Apr,제주시,조천읍,숙박,57,6257468,21653151.8,2020-12-15
4671,20-May,제주시,연동,숙박,2703,850399420,48177714.72,2021-07-30
4704,20-May,제주시,애월읍,숙박,1,24000,40776213.36,2021-07-30
4732,20-May,제주시,용담1동,숙박,12,48000000,7544336.781,2021-07-30
4799,20-May,제주시,외도동,숙박,243,33277310,12161795.24,2021-07-30
4818,20-May,제주시,삼도1동,숙박,194,27250525,11482713.49,2021-07-30
4825,20-May,제주시,삼도2동,숙박,1245,337061844,7115250.094,2021-07-30
4963,20-May,제주시,조천읍,숙박,153,16131973,23420502.38,2021-07-30
5101,20-May,제주시,이도1동,숙박,511,169584609,12634590.43,2021-07-30
5205,20-May,제주시,일도1동,숙박,20,1289720,2979925.376,2021-07-30
