,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
1861,20-Feb,제주시,아라동,문화/레져,143,24218960,35853075.03,2020-12-15
1890,20-Feb,제주시,애월읍,문화/레져,525,16534900,37892060.85,2020-12-15
1922,20-Feb,제주시,연동,문화/레져,2363,349728338,47434700.41,2020-12-15
1953,20-Feb,제주시,오라동,문화/레져,571,67193020,18661959.22,2020-12-15
1980,20-Feb,제주시,외도동,문화/레져,154,4290600,11427340.29,2020-12-15
2009,20-Feb,제주시,용담1동,문화/레져,59,5175000,7561825.608,2020-12-15
2037,20-Feb,제주시,용담2동,문화/레져,293,15635400,14203429.71,2020-12-15
2063,20-Feb,제주시,우도면,문화/레져,226,7640500,1349731.72,2020-12-15
2088,20-Feb,제주시,이도1동,문화/레져,188,23016240,11525619.96,2020-12-15
2115,20-Feb,제주시,이도2동,문화/레져,951,117102310,52289269.69,2020-12-15
2142,20-Feb,제주시,이호동,문화/레져,102,7174900,4368229.49,2020-12-15
2168,20-Feb,제주시,일도1동,문화/레져,4638,678933350,1834847.328,2020-12-15
2196,20-Feb,제주시,일도2동,문화/레져,583,44102890,26062258.04,2020-12-15
2224,20-Feb,제주시,조천읍,문화/레져,458,19705700,21166671.13,2020-12-15
2247,20-Feb,제주시,추자면,문화/레져,17,680000,1849186.165,2020-12-15
2270,20-Feb,제주시,한경면,문화/레져,83,2411000,6749052.109,2020-12-15
2297,20-Feb,제주시,한림읍,문화/레져,186,7994000,19655084.16,2020-12-15
2325,20-Feb,제주시,화북동,문화/레져,318,24870608,24173625.14,2020-12-15
2352,20-Mar,서귀포시,남원읍,문화/레져,198,7714613,15039370.32,2020-12-15
2379,20-Mar,서귀포시,대륜동,문화/레져,16,2435000,15409446.24,2020-12-15
2407,20-Mar,서귀포시,대정읍,문화/레져,519,43767020,18767892.19,2020-12-15
2460,20-Mar,서귀포시,동홍동,문화/레져,918,67867900,19155352.0,2020-12-15
2485,20-Mar,서귀포시,서홍동,문화/레져,6,1314890,7229847.459,2020-12-15
2513,20-Mar,서귀포시,성산읍,문화/레져,147,7716000,14843808.6,2020-12-15
2545,20-Mar,서귀포시,송산동,문화/레져,3329,382780300,21682722.03,2020-12-15
2576,20-Mar,서귀포시,안덕면,문화/레져,131,10306950,17426068.41,2020-12-15
2602,20-Mar,서귀포시,영천동,문화/레져,105,11661700,5800530.401,2020-12-15
2623,20-Mar,서귀포시,예래동,문화/레져,402,28402050,5744272.765,2020-12-15
2653,20-Mar,서귀포시,정방동,문화/레져,2339,306866900,3890129.289,2020-12-15
2683,20-Mar,서귀포시,중문동,문화/레져,408,18107100,10647498.76,2020-12-15
2712,20-Mar,서귀포시,중앙동,문화/레져,2339,306866900,4653041.907,2020-12-15
2741,20-Mar,서귀포시,천지동,문화/레져,2345,308181790,8885074.475,2020-12-15
2768,20-Mar,서귀포시,표선면,문화/레져,497,15242600,10749207.51,2020-12-15
2815,20-Mar,제주시,건입동,문화/레져,557,30505100,9502469.961,2020-12-15
2842,20-Mar,제주시,구좌읍,문화/레져,121,3399400,14278052.88,2020-12-15
2873,20-Mar,제주시,노형동,문화/레져,698,123511300,55640704.6,2020-12-15
2900,20-Mar,제주시,도두동,문화/레져,464,17698400,2660962.169,2020-12-15
2944,20-Mar,제주시,삼도1동,문화/레져,146,40697000,11880430.11,2020-12-15
2973,20-Mar,제주시,삼도2동,문화/레져,236,25046310,6964452.574,2020-12-15
2998,20-Mar,제주시,삼양동,문화/레져,721,27439855,20350868.46,2020-12-15
3024,20-Mar,제주시,아라동,문화/레져,271,30195000,39087989.79,2020-12-15
3053,20-Mar,제주시,애월읍,문화/레져,671,19405200,40295131.28,2020-12-15
3085,20-Mar,제주시,연동,문화/레져,2886,500170610,49001464.64,2020-12-15
3115,20-Mar,제주시,오라동,문화/레져,412,71130500,18694821.98,2020-12-15
3140,20-Mar,제주시,외도동,문화/레져,260,8305900,12483078.09,2020-12-15
3169,20-Mar,제주시,용담1동,문화/레져,94,7065039,7665415.968,2020-12-15
3198,20-Mar,제주시,용담2동,문화/레져,289,13146500,14188124.64,2020-12-15
3222,20-Mar,제주시,우도면,문화/레져,318,11909100,1566818.823,2020-12-15
3245,20-Mar,제주시,이도1동,문화/레져,233,29840700,12564435.93,2020-12-15
3273,20-Mar,제주시,이도2동,문화/레져,1183,146247970,56223354.39,2020-12-15
3299,20-Mar,제주시,이호동,문화/레져,141,4282400,4583411.679,2020-12-15
3325,20-Mar,제주시,일도1동,문화/레져,5857,803090230,2866838.114,2020-12-15
3353,20-Mar,제주시,일도2동,문화/레져,730,60351600,28451695.3,2020-12-15
3382,20-Mar,제주시,조천읍,문화/레져,504,19907400,22344229.42,2020-12-15
3406,20-Mar,제주시,추자면,문화/레져,13,563000,2027918.28,2020-12-15
3429,20-Mar,제주시,한경면,문화/레져,96,2407000,7482323.408,2020-12-15
3456,20-Mar,제주시,한림읍,문화/레져,319,13675300,21577300.06,2020-12-15
3484,20-Mar,제주시,화북동,문화/레져,317,32437100,26218986.0,2020-12-15
3510,20-Apr,서귀포시,남원읍,문화/레져,220,10170400,14615546.42,2020-12-15
3538,20-Apr,서귀포시,대륜동,문화/레져,28,10565500,14470880.64,2020-12-15
3564,20-Apr,서귀포시,대정읍,문화/레져,672,57516070,18433898.98,2020-12-15
3590,20-Apr,서귀포시,대천동,문화/레져,1,220000,8909338.649,2020-12-15
3618,20-Apr,서귀포시,동홍동,문화/레져,1077,74279300,18298525.48,2020-12-15
